SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioUnshifted,VoidRatioCorrected,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
1,9,377963,0,0,0.979403156087074,398.826467718696,701.5,0,0.963790157796599,1.0267901577966,0.00481089968529218,0,0.979403156087074,398.826467718696,1
2,9,377969,6,-0.000210569759655186,1.03506961613425,398.845023205378,701.5,0,0.963790157796599,1.0267901577966,0.00481961784504646,-0.000210569759655186,1.03506961613425,398.845023205378,1
3,9,377975,12,0.000631709278967427,1.31268075601497,398.837560252005,701.6,0.100000000000023,0.963790157796599,1.0267901577966,0.004816695612106,0.000631709278967427,1.31268075601497,398.837560252005,1
4,9,377981,18,0.00147398831759004,1.64587292081956,399.14862430694,701.4,-0.100000000000023,0.963790157796599,1.0267901577966,0.00481355871518829,0.00147398831759004,1.64587292081956,399.14862430694,1
5,9,377987,24,0.00252683711586877,1.86780730039231,399.022602433464,701.6,0.100000000000023,0.963790157796599,1.0267901577966,0.00481095917429868,0.00252683711586877,1.86780730039231,399.022602433464,1
6,9,377993,30,0.00357968591414657,2.08973699802846,398.996578999343,701.7,0.200000000000045,0.963790157796599,1.0267901577966,0.00478934790645853,0.00357968591414657,2.08973699802846,398.996578999343,1
7,9,377999,36,0.0046325347124253,2.14491016032503,399.014970053442,701.7,0.200000000000045,0.963790157796599,1.0267901577966,0.00476888450895273,0.0046325347124253,2.14491016032503,399.014970053442,1
8,9,378005,42,0.00568538351070404,2.25566551802945,398.75188850601,702,0.5,0.963790157796599,1.0267901577966,0.00474948909864194,0.00568538351070404,2.25566551802945,398.75188850601,1
9,9,378011,48,0.00673823230898183,2.31083575411526,398.870278584705,701.9,0.399999999999977,0.963790157796599,1.0267901577966,0.00474893351799781,0.00673823230898183,2.31083575411526,398.870278584705,1
10,9,378017,54,0.00758051134760445,2.42166987518317,398.907223291728,701.9,0.399999999999977,0.963790157796599,1.0267901577966,0.00474871113154959,0.00758051134760445,2.42166987518317,398.907223291728,1
11,9,378023,60,0.00884392990553837,2.53233593516666,398.944111978389,701.9,0.399999999999977,0.963790157796599,1.0267901577966,0.00473094491963706,0.00884392990553837,2.53233593516666,398.944111978389,1
12,9,378029,66,0.00968620894416191,2.69874698446438,398.899582328155,702,0.5,0.963790157796599,1.0267901577966,0.00471404558713465,0.00968620894416191,2.69874698446438,398.899582328155,1
13,9,378035,72,0.0107390577424397,2.80949087142426,398.736496957141,702.2,0.700000000000045,0.963790157796599,1.0267901577966,0.00469795763541354,0.0107390577424397,2.80949087142426,398.736496957141,1
14,9,378041,78,0.0115813367810623,2.97589641944637,398.791965473149,702.2,0.700000000000045,0.963790157796599,1.0267901577966,0.00469908069996024,0.0115813367810623,2.97589641944637,398.791965473149,1
15,9,378047,84,0.0126341855793411,3.14221477661931,399.24740492554,701.8,0.299999999999955,0.963790157796599,1.0267901577966,0.00470041067891156,0.0126341855793411,3.14221477661931,399.24740492554,1
16,9,378053,90,0.0136870343776198,3.36410854039218,399.121369513464,702,0.5,0.963790157796599,1.0267901577966,0.00470142851163468,0.0136870343776198,3.36410854039218,399.121369513464,1
17,9,378059,96,0.0147398831758976,3.58599762222843,398.895332540743,702.3,0.799999999999955,0.963790157796599,1.0267901577966,0.00470264404687244,0.0147398831758976,3.58599762222843,398.895332540743,1
18,9,378065,102,0.0157927319741763,3.919037517265,398.706345839088,702.6,1.10000000000002,0.963790157796599,1.0267901577966,0.00468808609287305,0.0157927319741763,3.919037517265,398.706345839088,1
19,9,378071,108,0.0168455807724541,4.25207038939675,398.617356796466,702.8,1.29999999999995,0.963790157796599,1.0267901577966,0.0046741658524306,0.0168455807724541,4.25207038939675,398.617356796466,1
20,9,378077,114,0.0176878598110777,4.58518366357021,398.628394554523,702.9,1.39999999999998,0.963790157796599,1.0267901577966,0.00467588731000527,0.0176878598110777,4.58518366357021,398.628394554523,1
21,9,378083,120,0.0187407086093555,4.91820319218277,398.239401064061,703.4,1.89999999999998,0.963790157796599,1.0267901577966,0.00466292312232435,0.0187407086093555,4.91820319218277,398.239401064061,1
22,9,378089,126,0.0197935574076342,5.30679122153902,398.16893040718,703.6,2.10000000000002,0.963790157796599,1.0267901577966,0.00465008219240042,0.0197935574076342,5.30679122153902,398.16893040718,1
23,9,378095,132,0.0206358364462568,5.75103587887588,398.517011959625,703.4,1.89999999999998,0.963790157796599,1.0267901577966,0.00466702703848501,0.0206358364462568,5.75103587887588,398.517011959625,1
24,9,378101,138,0.0218992550041907,6.19509140641344,398.365030468804,703.7,2.20000000000005,0.963790157796599,1.0267901577966,0.00466905244099686,0.0218992550041907,6.19509140641344,398.365030468804,1
25,9,378107,144,0.0227415340428133,6.63931920877872,398.213106402926,704,2.5,0.963790157796599,1.0267901577966,0.00465676465737582,0.0227415340428133,6.63931920877872,398.213106402926,1
26,9,378113,150,0.0237943828410921,7.13902012764902,398.079673375883,704.3,2.79999999999995,0.963790157796599,1.0267901577966,0.00465881849110589,0.0237943828410921,7.13902012764902,398.079673375883,1
27,9,378119,156,0.0248472316393699,7.63871051216188,398.046236837387,704.5,3,0.963790157796599,1.0267901577966,0.00466097530334366,0.0248472316393699,7.63871051216188,398.046236837387,1
28,9,378125,162,0.0256895106779925,8.13848527836262,397.812828426121,704.9,3.39999999999998,0.963790157796599,1.0267901577966,0.00464937176811012,0.0256895106779925,8.13848527836262,397.812828426121,1
29,9,378131,168,0.0267423594762712,8.6381556475967,397.779385215866,705.1,3.60000000000002,0.963790157796599,1.0267901577966,0.00465153895341586,0.0267423594762712,8.6381556475967,397.779385215866,1
30,9,378137,174,0.02779520827455,9.13781548247357,397.745938494158,705.3,3.79999999999995,0.963790157796599,1.0267901577966,0.00465379415931746,0.02779520827455,9.13781548247357,397.745938494158,1
31,9,378143,180,0.0288480570728277,9.74860576412652,397.649535254709,705.6,4.10000000000002,0.963790157796599,1.0267901577966,0.00465579972572444,0.0288480570728277,9.74860576412652,397.649535254709,1
32,9,378149,186,0.0296903361114504,10.2483427236893,397.71611424123,705.7,4.20000000000005,0.963790157796599,1.0267901577966,0.00465789296092423,0.0296903361114504,10.2483427236893,397.71611424123,1
33,9,378155,192,0.0305326151500739,10.8036408099454,397.801213603315,705.8,4.29999999999995,0.963790157796599,1.0267901577966,0.00464706756509607,0.0305326151500739,10.8036408099454,397.801213603315,1
34,9,378161,198,0.0315854639483517,11.3032588585384,397.367752952846,706.4,4.89999999999998,0.963790157796599,1.0267901577966,0.00463663116243614,0.0315854639483517,11.3032588585384,397.367752952846,1
35,9,378167,204,0.0324277429869743,11.8585375147577,397.252845838253,706.7,5.20000000000005,0.963790157796599,1.0267901577966,0.00462656533582657,0.0324277429869743,11.8585375147577,397.252845838253,1
