SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
24,11,930581,138,0.022174119634655,17.6072547624397,395.869084920813,710,7.79999999999995,1.0334645604989,1.0464645604989,0.00461088827597864,0.022174119634655,17.6072547624397,395.869084920813,1
25,11,930587,144,0.0232300300934481,18.3746577760899,395.624885925363,710.5,8.29999999999995,1.0334645604989,1.0464645604989,0.00460049097423908,0.0232300300934481,18.3746577760899,395.624885925363,1
26,11,930593,150,0.0242859405522412,19.1420445640633,395.780681521354,710.6,8.39999999999998,1.0334645604989,1.0464645604989,0.00460440044298503,0.0242859405522412,19.1420445640633,395.780681521354,1
27,11,930599,156,0.0251306689192757,19.8547023034725,395.618234101157,711,8.79999999999995,1.0334645604989,1.0464645604989,0.00460834064126825,0.0251306689192757,19.8547023034725,395.618234101157,1
28,11,930605,162,0.0259753972863101,20.5673479895217,395.455782663174,711.4,9.19999999999993,1.0334645604989,1.0464645604989,0.00459841167414832,0.0259753972863101,20.5673479895217,395.455782663174,1
29,11,930611,168,0.0270313077451032,21.3346905045778,395.111563501526,712,9.79999999999995,1.0334645604989,1.0464645604989,0.00460222817592212,0.0270313077451032,21.3346905045778,395.111563501526,1
30,11,930617,174,0.0280872182038963,22.0471517545707,394.849050584857,712.5,10.3,1.0334645604989,1.0464645604989,0.00460607094362874,0.0280872182038963,22.0471517545707,394.849050584857,1
31,11,930623,180,0.0291431286626894,22.7047334779661,394.568244492655,713,10.8,1.0334645604989,1.0464645604989,0.00459656848570609,0.0291431286626894,22.7047334779661,394.568244492655,1
32,11,930629,186,0.0299878570297239,23.3075984379518,394.369199479317,713.4,11.1999999999999,1.0334645604989,1.0464645604989,0.00458741586516671,0.0299878570297239,23.3075984379518,394.369199479317,1
33,11,930635,192,0.0308325853967584,23.9104531989408,394.170151066314,713.8,11.5999999999999,1.0334645604989,1.0464645604989,0.00457859611704658,0.0308325853967584,23.9104531989408,394.170151066314,1
34,11,930641,198,0.0316773137637928,24.5132977609333,394.271099253644,713.9,11.6999999999999,1.0334645604989,1.0464645604989,0.0045700932923507,0.0316773137637928,24.5132977609333,394.271099253644,1
35,11,930647,204,0.0327332242225859,25.061104784945,394.153701594982,714.2,12,1.0334645604989,1.0464645604989,0.00457431486208024,0.0327332242225859,25.061104784945,394.153701594982,1
36,11,930653,210,0.0335779525896204,25.7187901637064,394.072930054569,714.5,12.3,1.0334645604989,1.0464645604989,0.00457853532822738,0.0335779525896204,25.7187901637064,394.072930054569,1
37,11,930659,216,0.0346338630484135,26.2665740081798,393.655524669393,715.1,12.9,1.0334645604989,1.0464645604989,0.00457032886611578,0.0346338630484135,26.2665740081798,393.655524669393,1
38,11,930665,222,0.0352674093236894,26.8146831472347,393.738227715745,715.2,13,1.0334645604989,1.0464645604989,0.00456240380585655,0.0352674093236894,26.8146831472347,393.738227715745,1
39,11,930671,228,0.0361121376907238,27.3077550960018,393.602585032001,715.5,13.3,1.0334645604989,1.0464645604989,0.00455474742656359,0.0361121376907238,27.3077550960018,393.602585032001,1
40,11,930677,234,0.0371680481495169,27.7457881160158,393.448596038672,715.8,13.5999999999999,1.0334645604989,1.0464645604989,0.00455908005666129,0.0371680481495169,27.7457881160158,393.448596038672,1
41,11,930683,240,0.0378015944247928,28.2390142515424,393.113004750514,716.3,14.0999999999999,1.0334645604989,1.0464645604989,0.00456340015786412,0.0378015944247928,28.2390142515424,393.113004750514,1
