SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
1,10,580086,0,0,-6.34131996752228,405.286226677493,462.6,0,1.16980434119164,1.19880434119164,0.0516146521842899,0,-6.34131996752228,405.286226677493,1
2,10,580092,6,0,-5.7751992806925,405.174933573103,462.9,0.299999999999955,1.16980434119164,1.19880434119164,0.0518809422262742,0,-5.7751992806925,405.174933573103,1
3,10,580098,12,0.0087282312457596,1.74924641050643,404.883082136836,465.7,3.09999999999997,1.16980434119164,1.19880434119164,0.052377863837035,0.0087282312457596,1.74924641050643,404.883082136836,1
4,10,580104,18,0.0174564624915173,11.0836476929127,402.994549230971,470.7,8.09999999999997,1.16980434119164,1.19880434119164,0.0524424335691884,0.0174564624915173,11.0836476929127,402.994549230971,1
5,10,580110,24,0.0259664879561334,20.3599857514108,400.886661917137,475.9,13.3,1.16980434119164,1.19880434119164,0.0525161055982175,0.0259664879561334,20.3599857514108,400.886661917137,1
6,10,580116,30,0.0346947192018911,28.3329328895023,398.744310963167,480.7,18.1,1.16980434119164,1.19880434119164,0.0525735946042008,0.0346947192018911,28.3329328895023,398.744310963167,1
7,10,580122,36,0.0434229504476507,36.3610740861468,397.020358028716,485.1,22.5,1.16980434119164,1.19880434119164,0.0526206547379744,0.0434229504476507,36.3610740861468,397.020358028716,1
8,10,580128,42,0.0519329759122649,43.9919504226896,394.76398347423,489.9,27.3,1.16980434119164,1.19880434119164,0.0526911872567603,0.0519329759122649,43.9919504226896,394.76398347423,1
9,10,580134,48,0.0606612071580225,51.5081375853381,392.569379195113,494.6,32,1.16980434119164,1.19880434119164,0.0523632234692441,0.0606612071580225,51.5081375853381,392.569379195113,1
10,10,580140,54,0.073753554026661,58.2260435104558,390.308681170152,499.1,36.5,1.16980434119164,1.19880434119164,0.0524151605261527,0.073753554026661,58.2260435104558,390.308681170152,1
11,10,580146,60,0.0822635794912752,63.8163794284665,388.372126476155,502.9,40.3,1.16980434119164,1.19880434119164,0.0528286563802126,0.0822635794912752,63.8163794284665,388.372126476155,1
12,10,580152,66,0.0909918107370348,69.1792473637749,386.559749121258,506.5,43.9,1.16980434119164,1.19880434119164,0.0532216804856007,0.0909918107370348,69.1792473637749,386.559749121258,1
13,10,580158,72,0.0997200419827925,73.2969529326573,385.132317644219,509.3,46.7,1.16980434119164,1.19880434119164,0.0532670802669023,0.0997200419827925,73.2969529326573,385.132317644219,1
14,10,580164,78,0.108230067447409,77.244574083261,382.648191361087,513.1,50.5,1.16980434119164,1.19880434119164,0.0532877434585073,0.108230067447409,77.244574083261,382.648191361087,1
15,10,580170,84,0.116958298693166,80.6823103797195,381.094103459907,515.8,53.1999999999999,1.16980434119164,1.19880434119164,0.0533125479935882,0.116958298693166,80.6823103797195,381.094103459907,1
16,10,580176,90,0.130050645561805,83.4349006338329,379.611633544611,518.2,55.6,1.16980434119164,1.19880434119164,0.0533312699660482,0.130050645561805,83.4349006338329,379.611633544611,1
17,10,580182,96,0.138560671026419,86.0801792311476,378.393393077049,520.3,57.6999999999999,1.16980434119164,1.19880434119164,0.0533539439844821,0.138560671026419,86.0801792311476,378.393393077049,1
18,10,580188,102,0.151653017895057,88.6053538407816,376.935117946927,522.6,60,1.16980434119164,1.19880434119164,0.0533870004426111,0.151653017895057,88.6053538407816,376.935117946927,1
19,10,580194,108,0.160381249140815,90.627560629358,375.409186876453,524.8,62.1999999999999,1.16980434119164,1.19880434119164,0.0534075523361924,0.160381249140815,90.627560629358,375.409186876453,1
20,10,580200,114,0.168891274605429,92.5932180640623,373.664406021354,527.2,64.6,1.16980434119164,1.19880434119164,0.0531106453485388,0.168891274605429,92.5932180640623,373.664406021354,1
21,10,580206,120,0.181983621474068,94.0995974222621,372.666532474087,528.7,66.1,1.16980434119164,1.19880434119164,0.0531492983189858,0.181983621474068,94.0995974222621,372.666532474087,1
22,10,580212,126,0.194857762561563,95.7189094698163,371.806303156605,530.1,67.5,1.16980434119164,1.19880434119164,0.0534786001956584,0.194857762561563,95.7189094698163,371.806303156605,1
23,10,580218,132,0.20358599380732,97.2311368643414,370.61037895478,531.8,69.1999999999999,1.16980434119164,1.19880434119164,0.0534951491163232,0.20358599380732,97.2311368643414,370.61037895478,1
24,10,580224,138,0.216678340675959,98.7363707213708,368.91212357379,534,71.4,1.16980434119164,1.19880434119164,0.0535071045539703,0.216678340675959,98.7363707213708,368.91212357379,1
25,10,580230,144,0.225188366140573,100.135368257274,367.778456085758,535.6,73,1.16980434119164,1.19880434119164,0.0535223908074155,0.225188366140573,100.135368257274,367.778456085758,1
26,10,580236,150,0.233916597386333,101.477302752358,366.925767584119,536.9,74.3,1.16980434119164,1.19880434119164,0.0535477142121491,0.233916597386333,101.477302752358,366.925767584119,1
27,10,580242,156,0.24264482863209,102.706050663441,365.935350221147,538.3,75.6999999999999,1.16980434119164,1.19880434119164,0.0535616789768351,0.24264482863209,102.706050663441,365.935350221147,1
28,10,580248,162,0.25137305987785,103.595762593142,365.031920864381,539.5,76.9,1.16980434119164,1.19880434119164,0.0535712125008817,0.25137305987785,103.595762593142,365.031920864381,1
29,10,580254,168,0.264247200965343,104.591609223969,363.863869741323,541,78.4,1.16980434119164,1.19880434119164,0.0535979832337159,0.264247200965343,104.591609223969,363.863869741323,1
30,10,580260,174,0.272975432211102,105.763245137195,363.154415045732,542.1,79.5,1.16980434119164,1.19880434119164,0.0536065862783431,0.272975432211102,105.763245137195,363.154415045732,1
31,10,580266,180,0.281485457675717,106.709217157472,361.96973905249,543.6,81,1.16980434119164,1.19880434119164,0.0536181287941712,0.281485457675717,106.709217157472,361.96973905249,1
32,10,580272,186,0.294577804544355,107.929773776357,361.576591258786,544.4,81.8,1.16980434119164,1.19880434119164,0.0538921711121583,0.294577804544355,107.929773776357,361.576591258786,1
33,10,580278,192,0.303306035790113,108.762110464052,360.654036821351,545.6,83,1.16980434119164,1.19880434119164,0.0541626151125393,0.303306035790113,108.762110464052,360.654036821351,1
34,10,580284,198,0.316180176877608,109.756750075366,359.585583358455,547,84.4,1.16980434119164,1.19880434119164,0.0539105766806059,0.316180176877608,109.756750075366,359.585583358455,1
35,10,580290,204,0.324908408123365,110.532312127836,358.444104042612,548.4,85.8,1.16980434119164,1.19880434119164,0.0539113646846929,0.324908408123365,110.532312127836,358.444104042612,1
36,10,580296,210,0.338000754992004,111.526133633457,357.475377877819,549.7,87.1,1.16980434119164,1.19880434119164,0.0541687394099505,0.338000754992004,111.526133633457,357.475377877819,1
37,10,580302,216,0.346510780456618,112.245315198668,356.815105066222,550.6,88,1.16980434119164,1.19880434119164,0.0541790643588989,0.346510780456618,112.245315198668,356.815105066222,1
38,10,580308,222,0.355239011702378,113.076825465265,355.892275155089,551.8,89.1999999999999,1.16980434119164,1.19880434119164,0.0539257759613885,0.355239011702378,113.076825465265,355.892275155089,1
39,10,580314,228,0.368331358571014,113.844382757056,355.148127585685,552.8,90.1999999999999,1.16980434119164,1.19880434119164,0.0536809330063777,0.368331358571014,113.844382757056,355.148127585685,1
40,10,580320,234,0.37684138403563,114.393942565698,354.631314188566,553.5,90.9,1.16980434119164,1.19880434119164,0.0536990100751151,0.37684138403563,114.393942565698,354.631314188566,1
41,10,580326,240,0.385569615281388,115.281396352253,353.527132117418,554.9,92.3,1.16980434119164,1.19880434119164,0.0537072079537618,0.385569615281388,115.281396352253,353.527132117418,1
42,10,580332,246,0.402807871991762,115.928526051503,352.642842017168,556,93.4,1.16980434119164,1.19880434119164,0.0537123544563783,0.402807871991762,115.928526051503,352.642842017168,1
43,10,580338,252,0.411536103237519,116.759227191317,351.719742397106,557.2,94.6,1.16980434119164,1.19880434119164,0.053954686122328,0.411536103237519,116.759227191317,351.719742397106,1
44,10,580344,258,0.424628450106158,117.356726662791,350.718908887597,558.4,95.8,1.16980434119164,1.19880434119164,0.0539569808774059,0.424628450106158,117.356726662791,350.718908887597,1
45,10,580350,264,0.433138475570772,118.131126869185,349.977042289729,559.4,96.8,1.16980434119164,1.19880434119164,0.0539683283086802,0.433138475570772,118.131126869185,349.977042289729,1
46,10,580356,270,0.441866706816532,118.679563203979,349.059854401326,560.5,97.9,1.16980434119164,1.19880434119164,0.0539703853433206,0.441866706816532,118.679563203979,349.059854401326,1
47,10,580362,276,0.450594938062289,119.340614669263,348.280204889754,561.5,98.9,1.16980434119164,1.19880434119164,0.0537449245151766,0.450594938062289,119.340614669263,348.280204889754,1
48,10,580368,282,0.463469079149784,119.93790619955,347.879302066517,562.1,99.5,1.16980434119164,1.19880434119164,0.0535376512074353,0.463469079149784,119.93790619955,347.879302066517,1
49,10,580374,288,0.472197310395542,120.598697261893,347.099565753964,563.1,100.5,1.16980434119164,1.19880434119164,0.0535460808385702,0.472197310395542,120.598697261893,347.099565753964,1
50,10,580380,294,0.48528965726418,121.195300146773,346.198433382257,564.2,101.6,1.16980434119164,1.19880434119164,0.0537745881731314,0.48528965726418,121.195300146773,346.198433382257,1
51,10,580386,300,0.493799682728795,121.687219739828,345.462406579942,565.1,102.5,1.16980434119164,1.19880434119164,0.0789338474346822,0.493799682728795,121.687219739828,345.462406579942,1
52,10,580392,306,0.506892029597433,122.33986496931,344.67995498977,566.1,103.5,1.16980434119164,1.19880434119164,0.103975054715666,0.506892029597433,122.33986496931,344.67995498977,1
53,10,580398,312,0.519766170684926,122.823769425098,343.741256475033,567.2,104.6,1.16980434119164,1.19880434119164,0.103538643153377,0.519766170684926,122.823769425098,343.741256475033,1
54,10,580404,318,0.528494401930686,123.258664642476,343.086221547492,568,105.4,1.16980434119164,1.19880434119164,0.103309527082235,0.528494401930686,123.258664642476,343.086221547492,1
55,10,580410,324,0.541586748799324,123.854553766354,341.784851255451,569.5,106.9,1.16980434119164,1.19880434119164,0.103745938644521,0.541586748799324,123.854553766354,341.784851255451,1
56,10,580416,330,0.550096774263938,124.289649805985,341.629883268662,569.8,107.2,1.16980434119164,1.19880434119164,0.103964144425664,0.550096774263938,124.289649805985,341.629883268662,1
