StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioUnshifted,VoidRatioCorrected
6,0,initial,108.673483599789,1.557,1.61
6,1,t100,189.190566850628,1.41289442551319,1.46589442551319
7,2,t100,361.468229252571,1.16011930483957,1.21311930483957
