StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted
5,0,initial,19.1313831248698,1.436,1.501
6,2,t100,42.5040234901394,1.37179003926051,1.43679003926051
7,3,t100,89.8028392502318,1.30049367628257,1.36549367628257
8,4,t100,185.554492894887,1.18540156646798,1.25040156646798
9,5,t100,367.778433659598,1.02664400416575,1.09164400416575
