StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioUnshifted,VoidRatioCorrected
5,0,initial,39.3991903906336,1.31,1.334
5,1,t100,65.0842024106569,1.26231045521393,1.28631045521393
6,2,t100,114.325608960063,1.19977932328638,1.22377932328638
7,3,t100,208.094072728273,1.1214906591884,1.1454906591884
8,4,t100,397.535009851517,1.02456818858243,1.04856818858243
9,5,t100,600.400008269605,0.957099285123006,0.981099285123006
