StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted
7,0,initial,39.4339530545262,1.309,1.322
7,1,t100,47.7805515545216,1.29886540654472,1.31186540654472
8,2,t100,94.3074774348471,1.24135949505357,1.25435949505357
9,3,t100,190.671356098076,1.15270441258838,1.16570441258838
10,4,t100,382.316348288843,1.04489959655399,1.05789959655399
