StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted
5,0,initial,20.0124910891577,1.386,1.32
5,1,t100,50.128862678517,1.33106963079381,1.26506963079381
6,2,t100,97.9032336590323,1.2689923055874,1.2029923055874
7,3,t100,191.232699962577,1.19329741667213,1.12729741667213
8,4,t100,370.391914324084,1.1041224491777,1.0381224491777
