StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioUnshifted,VoidRatioCorrected
5,0,initial,15.3498458722589,1.25,1.313
5,1,t100,47.4406190110974,1.20515083946286,1.26815083946286
6,2,t100,94.8696397733645,1.15419815523549,1.21719815523549
7,3,t100,192.527695102864,1.07598468234204,1.13898468234204
8,4,t100,383.100305131665,0.976718323714125,1.03971832371412
