StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioUnshifted,VoidRatioCorrected
5,0,initial,25.0774964520342,1.435,1.413
5,1,t100,47.8103741317902,1.37848168673126,1.35648168673126
6,2,t100,98.038483516019,1.30725220729576,1.28525220729576
7,3,t100,197.268282979592,1.22104256657833,1.19904256657833
8,4,t100,389.352298714402,1.11930836239547,1.09730836239547
9,5,t100,763.503252032256,0.993416015121368,0.971416015121368
10,6,t100,1529.77964986637,0.868977378882679,0.846977378882679
11,7,t100,829.148628449109,0.873204623847122,0.851204623847122
12,8,t100,417.458669925158,0.910753889269294,0.888753889269294
