StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted
4,0,initial,2.6065174146313,1.295,1.381
4,1,t100,45.056814740502,1.24128253265315,1.32728253265315
5,2,t100,96.4898815824513,1.18159621428032,1.26759621428032
6,3,t100,192.87568513898,1.08671983887959,1.17271983887959
7,4,t100,381.589783576893,0.967676427944306,1.05367642794431
